sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
鳳山,高雄市,85,細懸浮微粒,普通,2.2,0.56,55,22,62,36,,,,0.9,270,"2025/09/22 13:00:00",0.5,24.9,43,1,120.357422,22.628126,50
大寮,高雄市,88,細懸浮微粒,普通,2.2,0.43,65,17,82,36,20,24.3,3.8,1.2,224,"2025/09/22 13:00:00",0.3,25.9,51,1,120.425311,22.56413611,51
林園,高雄市,67,細懸浮微粒,普通,4.2,0.28,50,24,46,16,9,11.5,2.1,2.5,281,"2025/09/22 13:00:00",0.3,18.4,41,2,120.41175,22.4795,52
楠梓,高雄市,78,細懸浮微粒,普通,1.7,0.28,60,26,64,27,9,11.3,1.4,1.7,304,"2025/09/22 13:00:00",0.3,22.5,52,1,120.328289,22.733667,53
左營,高雄市,63,細懸浮微粒,普通,1.5,0.19,50,25,44,14,5,6.5,1,2.3,308,"2025/09/22 13:00:00",0.2,16.8,37,1,120.292917,22.674861,54
前金,高雄市,65,細懸浮微粒,普通,1.8,0.27,60,30,56,26,9,9.5,0.4,2.5,341,"2025/09/22 13:00:00",0.2,17.7,41,0,120.28676111,22.63390278,56
前鎮,高雄市,60,懸浮微粒,普通,1.5,0.23,53,27,51,21,13,16.2,2.4,1.5,273,"2025/09/22 13:00:00",0.4,14.8,39,1,120.30833356,22.6044507,57
小港,高雄市,74,細懸浮微粒,普通,1.7,0.22,,12,35,18,20,27.1,6.3,3.5,262,"2025/09/22 13:00:00",0.4,21,34,1,120.337736,22.565833,58
屏東,屏東縣,59,細懸浮微粒,普通,1.2,0.21,49,21,32,14,5,6.4,1.2,2.6,327,"2025/09/22 13:00:00",0.2,15.5,31,1,120.488033,22.673081,59
潮州,屏東縣,61,細懸浮微粒,普通,0.8,0.36,44,16,57,32,9,11.6,1.9,1.2,192,"2025/09/22 13:00:00",0.3,16.2,34,0,120.561175,22.523108,60
恆春,屏東縣,58,細懸浮微粒,普通,1.2,0.07,17,12,16,,0,0.9,0.7,13.4,27,"2025/09/22 13:00:00",0,15,24,1,120.788928,21.958069,61
臺東,臺東縣,42,,良好,,0.05,,10,,,1,2.1,1,5.1,351,"2025/09/22 13:00:00",0,3.9,25,1,121.15045,22.755358,62
花蓮,花蓮縣,31,,良好,0.7,0.16,11,9,13,11,4,8.9,4.7,2.6,73,"2025/09/22 13:00:00",0.1,7.7,10,0,121.599769,23.971306,63
陽明,臺北市,10,,良好,0.7,0.08,12,11,3,0,0,1.3,0.9,,,"2025/09/22 13:00:00",0,0.1,1,0,121.529583,25.182722,64
宜蘭,宜蘭縣,30,,良好,0.3,0.1,12,9,21,11,1,2.9,1.7,3.4,110,"2025/09/22 13:00:00",0.1,7.4,16,0,121.746394,24.747917,65
冬山,宜蘭縣,33,,良好,0,0.09,25,17,35,8,2,5.6,3,3.9,117,"2025/09/22 13:00:00",0.2,7.8,20,0,121.792928,24.632203,66
三重,新北市,40,,良好,,,1,2,8,,,,,-,-,"2025/09/22 13:00:00",0.6,10,15,1,121.493806,25.072611,67
中壢,桃園市,31,,良好,0.5,0.39,,7,14,8,9,24.1,14.5,1.6,307,"2025/09/22 13:00:00",0.4,7.6,17,0,121.221667,24.953278,68
竹山,南投縣,61,細懸浮微粒,普通,1.8,0.2,52,22,40,20,4,5.5,0.6,2,208,"2025/09/22 13:00:00",0.1,16.1,33,1,120.677306,23.756389,69
永和,新北市,22,,良好,0.2,0.23,10,7,16,3,5,11.8,6.7,3.4,82,"2025/09/22 13:00:00",0.3,3.9,13,0,121.516306,25.017,70
復興,高雄市,66,細懸浮微粒,普通,1.7,0.28,,20,,23,14,15.9,1.1,0.9,251,"2025/09/22 13:00:00",0.4,17.8,29,1,120.312017,22.608711,71
埔里,南投縣,25,,良好,1.3,0.09,22,11,13,0,0,2,1.4,3.7,116,"2025/09/22 13:00:00",0.2,5.1,15,0,120.967903,23.968842,72
馬祖,連江縣,54,懸浮微粒,普通,1.3,0.14,56,48,35,13,2,3.2,0.8,4.6,330,"2025/09/22 13:00:00",0.1,12.1,34,0,119.952724,26.153736,75
金門,金門縣,40,,良好,0.8,0.12,38,34,34,10,3,4,0.7,3.6,15,"2025/09/22 13:00:00",0.1,8.4,24,0,118.312256,24.432133,77
馬公,澎湖縣,30,,良好,0.7,0.08,21,16,18,9,1,2.7,1.2,8.4,32,"2025/09/22 13:00:00",0,7.5,17,0,119.566158,23.569031,78
關山,臺東縣,8,,良好,0.3,0.08,13,9,6,3,1,2.9,1.2,3.1,357,"2025/09/22 13:00:00",0,1.9,5,0,121.161933,23.045083,80
麥寮,雲林縣,54,懸浮微粒,普通,2.5,0.18,45,21,75,15,6,8,1.4,5.7,1,"2025/09/22 13:00:00",0.1,10.6,34,1,120.251825,23.753506,83
富貴角,新北市,50,,良好,,,,17,34,9,,,,11.7,94,"2025/09/22 13:00:00",0,8.1,30,0,121.53656894,25.29681695,84
大城,彰化縣,45,,良好,1,0.09,,12,45,,2,3.8,1.6,7,143,"2025/09/22 13:00:00",0.1,9.7,27,1,120.26964167,23.85493056,85
員林,彰化縣,65,細懸浮微粒,普通,2.1,0.3,67,26,31,13,12,14.9,2.1,0.7,48,"2025/09/22 13:00:00",0.3,17.5,32,1,120.5631893,23.9615945,139
宜蘭（三星）,宜蘭縣,20,,良好,0.7,0.06,14,10,17,5,1,2.4,1,2.9,74,"2025/09/22 13:00:00",0,1.5,12,0,121.6565272,24.6757916,201
高雄（湖內）,高雄市,68,細懸浮微粒,普通,0.9,0.21,51,28,45,15,5,7.1,1.3,1.6,265,"2025/09/22 13:00:00",0.3,18.7,44,0,120.24535,22.87985556,202
南投（鹿谷）,南投縣,32,,良好,1.1,0.06,17,17,11,3,1,2.4,1.1,0.2,31,"2025/09/22 13:00:00",0,4.8,19,1,120.7944772,23.71867609,203
屏東（琉球）,屏東縣,60,細懸浮微粒,普通,1.1,0.15,42,29,27,14,2,3.3,0.9,2.8,319,"2025/09/22 13:00:00",0.2,15.7,25,1,120.37722,22.35222,204
台中市（和平區）,臺中市,23,,良好,0.1,0.09,21,10,19,2,4,7.5,2.7,2.4,0,"2025/09/22 13:00:00",0.1,1.2,14,0,120.883858,24.174592,310
新北(樹林),新北市,21,,良好,0.7,0.23,15,12,6,6,7,21.1,13.3,0.8,130,"2025/09/22 13:00:00",0.2,5.3,7,0,121.38352778,24.94902778,311
臺南（南化）,臺南市,35,,良好,0.3,0.16,36,20,13,10,0,0.9,0.1,0.3,340,"2025/09/22 13:00:00",0.1,8.7,14,0,120.44583156,23.04562013,312
屏東(枋山),屏東縣,25,,良好,0,0.02,21,23,10,3,0,0.4,0,4.8,57,"2025/09/22 13:00:00",0,2.2,15,0,120.651472,22.260899,313
