sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
麥寮,雲林縣,81,懸浮微粒,普通,1.7,0.14,50,30,56,7,1,1.6,0,4.9,1,"2025/09/15 14:00:00",0.1,7.7,58,1,120.251825,23.753506,83
富貴角,新北市,31,,良好,0.3,0.05,27,33,9,3,,,,9.1,98,"2025/09/15 14:00:00",0,7.1,9,0,121.53656894,25.29681695,84
大城,彰化縣,43,,良好,0.9,0.12,51,33,,10,1,2.6,0.9,5.2,310,"2025/09/15 14:00:00",0.1,10.7,18,0,120.26964167,23.85493056,85
員林,彰化縣,62,細懸浮微粒,普通,1.6,0.19,68,46,31,20,3,5.5,1.7,3.9,285,"2025/09/15 14:00:00",0.2,16.7,27,1,120.5631893,23.9615945,139
宜蘭（三星）,宜蘭縣,32,,良好,0.8,0.14,21,20,20,0,2,3.3,0.9,2.6,71,"2025/09/15 14:00:00",0.1,4.2,19,0,121.6565272,24.6757916,201
高雄（湖內）,高雄市,65,細懸浮微粒,普通,2.1,0.14,62,39,20,15,4,4.8,0.7,3.3,286,"2025/09/15 14:00:00",0.2,17.5,26,0,120.24535,22.87985556,202
南投（鹿谷）,南投縣,31,,良好,0.8,0.22,62,31,26,11,4,4.5,0.4,0.4,22,"2025/09/15 14:00:00",0.1,7.6,18,0,120.7944772,23.71867609,203
屏東（琉球）,屏東縣,39,,良好,1.7,0.19,69,40,19,14,2,4.1,1.1,2.5,358,"2025/09/15 14:00:00",0.1,9.7,14,1,120.37722,22.35222,204
台中市（和平區）,臺中市,38,,良好,,,,20,21,,,,,2.4,286,"2025/09/15 14:00:00",0.2,6.1,23,0,120.883858,24.174592,310
新北(樹林),新北市,38,,良好,0,0.15,29,33,13,4,8,11.9,3.6,0.6,195,"2025/09/15 14:00:00",0.2,9.5,16,0,121.38352778,24.94902778,311
臺南（南化）,臺南市,34,,良好,0.5,0.15,62,37,14,10,1,1.5,0,0.4,334,"2025/09/15 14:00:00",0.1,6.6,11,,120.44583156,23.04562013,312
屏東(枋山),屏東縣,29,,良好,0.8,0.19,64,31,21,7,1,1.3,0,1.7,227,"2025/09/15 14:00:00",0.1,4.3,9,0,120.651472,22.260899,313
